,Source,Destination,TravelTimeInMin
623,KASAVANAHALLI,KORAMANGALA,56
624,KORAMANGALA,RR NAGAR,80
625,RR NAGAR,KORAMANGALA,80
626,KORAMANGALA,S.G. PALYA,43
627,S.G. PALYA,KORAMANGALA,43
628,KORAMANGALA,BALAGERE,67
629,BALAGERE,KORAMANGALA,67
630,KORAMANGALA,KADUGODI,89
631,KADUGODI,KORAMANGALA,89
632,KORAMANGALA,MATHIKERE,83
633,MATHIKERE,KORAMANGALA,83
634,KORAMANGALA,RAJAJINAGAR,79
635,RAJAJINAGAR,KORAMANGALA,79
636,KORAMANGALA,VIDYARANYAPURA,91
637,VIDYARANYAPURA,KORAMANGALA,91
638,KORAMANGALA,VIJAYANAGAR,70
639,VIJAYANAGAR,KORAMANGALA,70
640,KORAMANGALA,YESWANTHPUR,84
641,YESWANTHPUR,KORAMANGALA,84
642,SHANTI NAGAR,AKSHAYANAGAR,70
643,AKSHAYANAGAR,SHANTI NAGAR,70
644,SHANTI NAGAR,BHOGANHALLI,77
645,BHOGANHALLI,SHANTI NAGAR,77
646,SHANTI NAGAR,BROOKEFIELD,92
647,BROOKEFIELD,SHANTI NAGAR,92
648,SHANTI NAGAR,C V RAMAN NAGAR,72
649,C V RAMAN NAGAR,SHANTI NAGAR,72
650,SHANTI NAGAR,CHINNAPANNA HALLI,79
651,CHINNAPANNA HALLI,SHANTI NAGAR,79
652,SHANTI NAGAR,DODDAKANNELLI,73
653,DODDAKANNELLI,SHANTI NAGAR,73
654,SHANTI NAGAR,DODDANEKKUNDI,79
655,DODDANEKKUNDI,SHANTI NAGAR,79
656,SHANTI NAGAR,GUNJUR VILLAGE,91
657,GUNJUR VILLAGE,SHANTI NAGAR,91
658,SHANTI NAGAR,HOODI,85
659,HOODI,SHANTI NAGAR,85
660,SHANTI NAGAR,HSR LAYOUT,59
661,HSR LAYOUT,SHANTI NAGAR,59
662,SHANTI NAGAR,KADUBEESANAHALLI,72
663,KADUBEESANAHALLI,SHANTI NAGAR,72
664,SHANTI NAGAR,KAGGADASAPURA,70
665,KAGGADASAPURA,SHANTI NAGAR,70
666,SHANTI NAGAR,KODIHALLI,57
667,KODIHALLI,SHANTI NAGAR,57
668,SHANTI NAGAR,KRISHNARAJAPURA,82
669,KRISHNARAJAPURA,SHANTI NAGAR,82
670,SHANTI NAGAR,MAHADEVAPURA,75
671,MAHADEVAPURA,SHANTI NAGAR,75
672,SHANTI NAGAR,MARATHAHALLI,75
673,MARATHAHALLI,SHANTI NAGAR,75
674,SHANTI NAGAR,MUNNEKOLLAL,77
675,MUNNEKOLLAL,SHANTI NAGAR,77
676,SHANTI NAGAR,MURGESH PALLYA,62
677,MURGESH PALLYA,SHANTI NAGAR,62
678,SHANTI NAGAR,NEW TIPPASANDRA,66
679,NEW TIPPASANDRA,SHANTI NAGAR,66
680,SHANTI NAGAR,PANATHUR,75
681,PANATHUR,SHANTI NAGAR,75
682,SHANTI NAGAR,WHITEFIELD,82
683,WHITEFIELD,SHANTI NAGAR,82
684,SHANTI NAGAR,AIRPORT,93
685,AIRPORT,SHANTI NAGAR,93
686,SHANTI NAGAR,DEVANAHALLI,95
687,DEVANAHALLI,SHANTI NAGAR,95
688,SHANTI NAGAR,HEBBAL,67
689,HEBBAL,SHANTI NAGAR,67
690,SHANTI NAGAR,THANISANDRA,79
691,THANISANDRA,SHANTI NAGAR,79
692,SHANTI NAGAR,YELAHANKA,87
693,YELAHANKA,SHANTI NAGAR,87
694,SHANTI NAGAR,AREKERE,62
695,AREKERE,SHANTI NAGAR,62
696,SHANTI NAGAR,BANASHANKARI,55
697,BANASHANKARI,SHANTI NAGAR,55
698,SHANTI NAGAR,BELLANDUR,66
699,BELLANDUR,SHANTI NAGAR,66
700,SHANTI NAGAR,BILEKAHALLI,55
701,BILEKAHALLI,SHANTI NAGAR,55
702,SHANTI NAGAR,BOMMANAHALLI,59
703,BOMMANAHALLI,SHANTI NAGAR,59
704,SHANTI NAGAR,BOMMASANDRA,80
705,BOMMASANDRA,SHANTI NAGAR,80
706,SHANTI NAGAR,BTM LAYOUT,57
707,BTM LAYOUT,SHANTI NAGAR,57
708,SHANTI NAGAR,CHOODASANDRA,79
709,CHOODASANDRA,SHANTI NAGAR,79
710,SHANTI NAGAR,DOMLUR,56
711,DOMLUR,SHANTI NAGAR,56
712,SHANTI NAGAR,ELECTRONIC CITY,68
713,ELECTRONIC CITY,SHANTI NAGAR,68
714,SHANTI NAGAR,HARALUR,73
715,HARALUR,SHANTI NAGAR,73
716,SHANTI NAGAR,J. P. NAGAR,68
717,J. P. NAGAR,SHANTI NAGAR,68
718,SHANTI NAGAR,JAYANAGAR,48
719,JAYANAGAR,SHANTI NAGAR,48
720,SHANTI NAGAR,KAIKONDRAHALLI,67
721,KAIKONDRAHALLI,SHANTI NAGAR,67
722,SHANTI NAGAR,KASAVANAHALLI,72
723,KASAVANAHALLI,SHANTI NAGAR,72
724,SHANTI NAGAR,RR NAGAR,66
725,RR NAGAR,SHANTI NAGAR,66
726,SHANTI NAGAR,S.G. PALYA,44
727,S.G. PALYA,SHANTI NAGAR,44
728,SHANTI NAGAR,BALAGERE,83
729,BALAGERE,SHANTI NAGAR,83
730,SHANTI NAGAR,KADUGODI,99
731,KADUGODI,SHANTI NAGAR,99
732,SHANTI NAGAR,MATHIKERE,70
733,MATHIKERE,SHANTI NAGAR,70
734,SHANTI NAGAR,RAJAJINAGAR,64
735,RAJAJINAGAR,SHANTI NAGAR,64
736,SHANTI NAGAR,VIDYARANYAPURA,79
737,VIDYARANYAPURA,SHANTI NAGAR,79
738,SHANTI NAGAR,VIJAYANAGAR,57
739,VIJAYANAGAR,SHANTI NAGAR,57
740,SHANTI NAGAR,YESWANTHPUR,70
741,YESWANTHPUR,SHANTI NAGAR,70
742,AKSHAYANAGAR,BHOGANHALLI,77
743,BHOGANHALLI,AKSHAYANAGAR,77
744,AKSHAYANAGAR,BROOKEFIELD,94
745,BROOKEFIELD,AKSHAYANAGAR,94
746,AKSHAYANAGAR,C V RAMAN NAGAR,85
747,C V RAMAN NAGAR,AKSHAYANAGAR,85
748,AKSHAYANAGAR,CHINNAPANNA HALLI,79
749,CHINNAPANNA HALLI,AKSHAYANAGAR,79
750,AKSHAYANAGAR,DODDAKANNELLI,73
751,DODDAKANNELLI,AKSHAYANAGAR,73
752,AKSHAYANAGAR,DODDANEKKUNDI,82
753,DODDANEKKUNDI,AKSHAYANAGAR,82
754,AKSHAYANAGAR,GUNJUR VILLAGE,91
755,GUNJUR VILLAGE,AKSHAYANAGAR,91
756,AKSHAYANAGAR,HOODI,89
757,HOODI,AKSHAYANAGAR,89
758,AKSHAYANAGAR,HSR LAYOUT,54
759,HSR LAYOUT,AKSHAYANAGAR,54
760,AKSHAYANAGAR,KADUBEESANAHALLI,72
761,KADUBEESANAHALLI,AKSHAYANAGAR,72
762,AKSHAYANAGAR,KAGGADASAPURA,83
763,KAGGADASAPURA,AKSHAYANAGAR,83
764,AKSHAYANAGAR,KODIHALLI,70
765,KODIHALLI,AKSHAYANAGAR,70
766,AKSHAYANAGAR,KRISHNARAJAPURA,95
767,KRISHNARAJAPURA,AKSHAYANAGAR,95
768,AKSHAYANAGAR,MAHADEVAPURA,82
769,MAHADEVAPURA,AKSHAYANAGAR,82
770,AKSHAYANAGAR,MARATHAHALLI,75
771,MARATHAHALLI,AKSHAYANAGAR,75
772,AKSHAYANAGAR,MUNNEKOLLAL,83
773,MUNNEKOLLAL,AKSHAYANAGAR,83
774,AKSHAYANAGAR,MURGESH PALLYA,76
775,MURGESH PALLYA,AKSHAYANAGAR,76
776,AKSHAYANAGAR,NEW TIPPASANDRA,79
777,NEW TIPPASANDRA,AKSHAYANAGAR,79
778,AKSHAYANAGAR,PANATHUR,75
779,PANATHUR,AKSHAYANAGAR,75
780,AKSHAYANAGAR,WHITEFIELD,83
781,WHITEFIELD,AKSHAYANAGAR,83
782,AKSHAYANAGAR,AIRPORT,123
783,AIRPORT,AKSHAYANAGAR,123
784,AKSHAYANAGAR,DEVANAHALLI,126
785,DEVANAHALLI,AKSHAYANAGAR,126
786,AKSHAYANAGAR,HEBBAL,98
787,HEBBAL,AKSHAYANAGAR,98
788,AKSHAYANAGAR,THANISANDRA,109
789,THANISANDRA,AKSHAYANAGAR,109
790,AKSHAYANAGAR,YELAHANKA,118
791,YELAHANKA,AKSHAYANAGAR,118
792,AKSHAYANAGAR,AREKERE,43
793,AREKERE,AKSHAYANAGAR,43
794,AKSHAYANAGAR,BANASHANKARI,69
795,BANASHANKARI,AKSHAYANAGAR,69
796,AKSHAYANAGAR,BELLANDUR,66
797,BELLANDUR,AKSHAYANAGAR,66
798,AKSHAYANAGAR,BILEKAHALLI,45
799,BILEKAHALLI,AKSHAYANAGAR,45
800,AKSHAYANAGAR,BOMMANAHALLI,48
801,BOMMANAHALLI,AKSHAYANAGAR,48
802,AKSHAYANAGAR,BOMMASANDRA,65
803,BOMMASANDRA,AKSHAYANAGAR,65
804,AKSHAYANAGAR,BTM LAYOUT,47
805,BTM LAYOUT,AKSHAYANAGAR,47
806,AKSHAYANAGAR,CHOODASANDRA,72
807,CHOODASANDRA,AKSHAYANAGAR,72
808,AKSHAYANAGAR,DOMLUR,69
809,DOMLUR,AKSHAYANAGAR,69
810,AKSHAYANAGAR,ELECTRONIC CITY,52
811,ELECTRONIC CITY,AKSHAYANAGAR,52
812,AKSHAYANAGAR,HARALUR,65
813,HARALUR,AKSHAYANAGAR,65
814,AKSHAYANAGAR,J. P. NAGAR,48
815,J. P. NAGAR,AKSHAYANAGAR,48
816,AKSHAYANAGAR,JAYANAGAR,54
817,JAYANAGAR,AKSHAYANAGAR,54
818,AKSHAYANAGAR,KAIKONDRAHALLI,67
819,KAIKONDRAHALLI,AKSHAYANAGAR,67
820,AKSHAYANAGAR,KASAVANAHALLI,72
821,KASAVANAHALLI,AKSHAYANAGAR,72
822,AKSHAYANAGAR,RR NAGAR,82
823,RR NAGAR,AKSHAYANAGAR,82
824,AKSHAYANAGAR,S.G. PALYA,60
825,S.G. PALYA,AKSHAYANAGAR,60
826,AKSHAYANAGAR,BALAGERE,83
827,BALAGERE,AKSHAYANAGAR,83
828,AKSHAYANAGAR,KADUGODI,104
829,KADUGODI,AKSHAYANAGAR,104
830,AKSHAYANAGAR,MATHIKERE,102
831,MATHIKERE,AKSHAYANAGAR,102
832,AKSHAYANAGAR,RAJAJINAGAR,96
833,RAJAJINAGAR,AKSHAYANAGAR,96
834,AKSHAYANAGAR,VIDYARANYAPURA,110
835,VIDYARANYAPURA,AKSHAYANAGAR,110
836,AKSHAYANAGAR,VIJAYANAGAR,85
837,VIJAYANAGAR,AKSHAYANAGAR,85
838,AKSHAYANAGAR,YESWANTHPUR,95
839,YESWANTHPUR,AKSHAYANAGAR,95
840,BHOGANHALLI,BROOKEFIELD,65
841,BROOKEFIELD,BHOGANHALLI,65
842,BHOGANHALLI,C V RAMAN NAGAR,67
843,C V RAMAN NAGAR,BHOGANHALLI,67
844,BHOGANHALLI,CHINNAPANNA HALLI,50
845,CHINNAPANNA HALLI,BHOGANHALLI,50
846,BHOGANHALLI,DODDAKANNELLI,45
847,DODDAKANNELLI,BHOGANHALLI,45
848,BHOGANHALLI,DODDANEKKUNDI,53
849,DODDANEKKUNDI,BHOGANHALLI,53
850,BHOGANHALLI,GUNJUR VILLAGE,53
851,GUNJUR VILLAGE,BHOGANHALLI,53
852,BHOGANHALLI,HOODI,61
853,HOODI,BHOGANHALLI,61
854,BHOGANHALLI,HSR LAYOUT,53
855,HSR LAYOUT,BHOGANHALLI,53
856,BHOGANHALLI,KADUBEESANAHALLI,37
857,KADUBEESANAHALLI,BHOGANHALLI,37
858,BHOGANHALLI,KAGGADASAPURA,61
859,KAGGADASAPURA,BHOGANHALLI,61
860,BHOGANHALLI,KODIHALLI,66
861,KODIHALLI,BHOGANHALLI,66
862,BHOGANHALLI,KRISHNARAJAPURA,66
863,KRISHNARAJAPURA,BHOGANHALLI,66
864,BHOGANHALLI,MAHADEVAPURA,54
865,MAHADEVAPURA,BHOGANHALLI,54
866,BHOGANHALLI,MARATHAHALLI,47
867,MARATHAHALLI,BHOGANHALLI,47
868,BHOGANHALLI,MUNNEKOLLAL,49
869,MUNNEKOLLAL,BHOGANHALLI,49
870,BHOGANHALLI,MURGESH PALLYA,63
871,MURGESH PALLYA,BHOGANHALLI,63
872,BHOGANHALLI,NEW TIPPASANDRA,62
873,NEW TIPPASANDRA,BHOGANHALLI,62
874,BHOGANHALLI,PANATHUR,36
875,PANATHUR,BHOGANHALLI,36
876,BHOGANHALLI,WHITEFIELD,44
877,WHITEFIELD,BHOGANHALLI,44
878,BHOGANHALLI,AIRPORT,108
879,AIRPORT,BHOGANHALLI,108
880,BHOGANHALLI,DEVANAHALLI,111
881,DEVANAHALLI,BHOGANHALLI,111
882,BHOGANHALLI,HEBBAL,84
883,HEBBAL,BHOGANHALLI,84
884,BHOGANHALLI,THANISANDRA,81
885,THANISANDRA,BHOGANHALLI,81
886,BHOGANHALLI,YELAHANKA,103
887,YELAHANKA,BHOGANHALLI,103
888,BHOGANHALLI,AREKERE,73
889,AREKERE,BHOGANHALLI,73
890,BHOGANHALLI,BANASHANKARI,88
891,BANASHANKARI,BHOGANHALLI,88
892,BHOGANHALLI,BELLANDUR,49
893,BELLANDUR,BHOGANHALLI,49
894,BHOGANHALLI,BILEKAHALLI,66
895,BILEKAHALLI,BHOGANHALLI,66
896,BHOGANHALLI,BOMMANAHALLI,61
897,BOMMANAHALLI,BHOGANHALLI,61
898,BHOGANHALLI,BOMMASANDRA,65
899,BOMMASANDRA,BHOGANHALLI,65
900,BHOGANHALLI,BTM LAYOUT,62
901,BTM LAYOUT,BHOGANHALLI,62
902,BHOGANHALLI,CHOODASANDRA,51
903,CHOODASANDRA,BHOGANHALLI,51
904,BHOGANHALLI,DOMLUR,65
905,DOMLUR,BHOGANHALLI,65
906,BHOGANHALLI,ELECTRONIC CITY,69
907,ELECTRONIC CITY,BHOGANHALLI,69
908,BHOGANHALLI,HARALUR,55
909,HARALUR,BHOGANHALLI,55
910,BHOGANHALLI,J. P. NAGAR,78
911,J. P. NAGAR,BHOGANHALLI,78
912,BHOGANHALLI,JAYANAGAR,70
913,JAYANAGAR,BHOGANHALLI,70
914,BHOGANHALLI,KAIKONDRAHALLI,48
915,KAIKONDRAHALLI,BHOGANHALLI,48
916,BHOGANHALLI,KASAVANAHALLI,50
917,KASAVANAHALLI,BHOGANHALLI,50
918,BHOGANHALLI,RR NAGAR,104
919,RR NAGAR,BHOGANHALLI,104
920,BHOGANHALLI,S.G. PALYA,67
921,S.G. PALYA,BHOGANHALLI,67
922,BHOGANHALLI,BALAGERE,45
923,BALAGERE,BHOGANHALLI,45
924,BHOGANHALLI,KADUGODI,72
925,KADUGODI,BHOGANHALLI,72
926,BHOGANHALLI,MATHIKERE,92
927,MATHIKERE,BHOGANHALLI,92
928,BHOGANHALLI,RAJAJINAGAR,98
929,RAJAJINAGAR,BHOGANHALLI,98
930,BHOGANHALLI,VIDYARANYAPURA,94
931,VIDYARANYAPURA,BHOGANHALLI,94
932,BHOGANHALLI,VIJAYANAGAR,94
933,VIJAYANAGAR,BHOGANHALLI,94
934,BHOGANHALLI,YESWANTHPUR,95
935,YESWANTHPUR,BHOGANHALLI,95
936,BROOKEFIELD,C V RAMAN NAGAR,68
937,C V RAMAN NAGAR,BROOKEFIELD,68
938,BROOKEFIELD,CHINNAPANNA HALLI,47
939,CHINNAPANNA HALLI,BROOKEFIELD,47
940,BROOKEFIELD,DODDAKANNELLI,68
941,DODDAKANNELLI,BROOKEFIELD,68
942,BROOKEFIELD,DODDANEKKUNDI,46
943,DODDANEKKUNDI,BROOKEFIELD,46
944,BROOKEFIELD,GUNJUR VILLAGE,61
945,GUNJUR VILLAGE,BROOKEFIELD,61
946,BROOKEFIELD,HOODI,49
947,HOODI,BROOKEFIELD,49
948,BROOKEFIELD,HSR LAYOUT,70
949,HSR LAYOUT,BROOKEFIELD,70
950,BROOKEFIELD,KADUBEESANAHALLI,58
951,KADUBEESANAHALLI,BROOKEFIELD,58
952,BROOKEFIELD,KAGGADASAPURA,69
953,KAGGADASAPURA,BROOKEFIELD,69
954,BROOKEFIELD,KODIHALLI,74
955,KODIHALLI,BROOKEFIELD,74
956,BROOKEFIELD,KRISHNARAJAPURA,53
957,KRISHNARAJAPURA,BROOKEFIELD,53
958,BROOKEFIELD,MAHADEVAPURA,57
959,MAHADEVAPURA,BROOKEFIELD,57
960,BROOKEFIELD,MARATHAHALLI,51
961,MARATHAHALLI,BROOKEFIELD,51
962,BROOKEFIELD,MUNNEKOLLAL,51
963,MUNNEKOLLAL,BROOKEFIELD,51
964,BROOKEFIELD,MURGESH PALLYA,70
965,MURGESH PALLYA,BROOKEFIELD,70
966,BROOKEFIELD,NEW TIPPASANDRA,70
967,NEW TIPPASANDRA,BROOKEFIELD,70
968,BROOKEFIELD,PANATHUR,61
969,PANATHUR,BROOKEFIELD,61
970,BROOKEFIELD,WHITEFIELD,53
971,WHITEFIELD,BROOKEFIELD,53
972,BROOKEFIELD,AIRPORT,109
973,AIRPORT,BROOKEFIELD,109
974,BROOKEFIELD,DEVANAHALLI,107
975,DEVANAHALLI,BROOKEFIELD,107
976,BROOKEFIELD,HEBBAL,84
977,HEBBAL,BROOKEFIELD,84
978,BROOKEFIELD,THANISANDRA,82
979,THANISANDRA,BROOKEFIELD,82
980,BROOKEFIELD,YELAHANKA,104
981,YELAHANKA,BROOKEFIELD,104
982,BROOKEFIELD,AREKERE,89
983,AREKERE,BROOKEFIELD,89
984,BROOKEFIELD,BANASHANKARI,105
985,BANASHANKARI,BROOKEFIELD,105
986,BROOKEFIELD,BELLANDUR,65
987,BELLANDUR,BROOKEFIELD,65
988,BROOKEFIELD,BILEKAHALLI,83
989,BILEKAHALLI,BROOKEFIELD,83
990,BROOKEFIELD,BOMMANAHALLI,77
991,BOMMANAHALLI,BROOKEFIELD,77
992,BROOKEFIELD,BOMMASANDRA,88
993,BOMMASANDRA,BROOKEFIELD,88
994,BROOKEFIELD,BTM LAYOUT,79
995,BTM LAYOUT,BROOKEFIELD,79
996,BROOKEFIELD,CHOODASANDRA,74
997,CHOODASANDRA,BROOKEFIELD,74
998,BROOKEFIELD,DOMLUR,73
999,DOMLUR,BROOKEFIELD,73
1000,BROOKEFIELD,ELECTRONIC CITY,86
1001,ELECTRONIC CITY,BROOKEFIELD,86
1002,BROOKEFIELD,HARALUR,71
1003,HARALUR,BROOKEFIELD,71
1004,BROOKEFIELD,J. P. NAGAR,95
1005,J. P. NAGAR,BROOKEFIELD,95
1006,BROOKEFIELD,JAYANAGAR,86
1007,JAYANAGAR,BROOKEFIELD,86
1008,BROOKEFIELD,KAIKONDRAHALLI,65
1009,KAIKONDRAHALLI,BROOKEFIELD,65
1010,BROOKEFIELD,KASAVANAHALLI,70
1011,KASAVANAHALLI,BROOKEFIELD,70
1012,BROOKEFIELD,RR NAGAR,116
1013,RR NAGAR,BROOKEFIELD,116
1014,BROOKEFIELD,S.G. PALYA,83
1015,S.G. PALYA,BROOKEFIELD,83
1016,BROOKEFIELD,BALAGERE,59
1017,BALAGERE,BROOKEFIELD,59
1018,BROOKEFIELD,KADUGODI,56
1019,KADUGODI,BROOKEFIELD,56
1020,BROOKEFIELD,MATHIKERE,93
1021,MATHIKERE,BROOKEFIELD,93
1022,BROOKEFIELD,RAJAJINAGAR,99
1023,RAJAJINAGAR,BROOKEFIELD,99
1024,BROOKEFIELD,VIDYARANYAPURA,94
1025,VIDYARANYAPURA,BROOKEFIELD,94
1026,BROOKEFIELD,VIJAYANAGAR,107
1027,VIJAYANAGAR,BROOKEFIELD,107
1028,BROOKEFIELD,YESWANTHPUR,95
1029,YESWANTHPUR,BROOKEFIELD,95
1030,C V RAMAN NAGAR,CHINNAPANNA HALLI,56
1031,CHINNAPANNA HALLI,C V RAMAN NAGAR,56
1032,C V RAMAN NAGAR,DODDAKANNELLI,73
1033,DODDAKANNELLI,C V RAMAN NAGAR,73
1034,C V RAMAN NAGAR,DODDANEKKUNDI,53
1035,DODDANEKKUNDI,C V RAMAN NAGAR,53
1036,C V RAMAN NAGAR,GUNJUR VILLAGE,75
1037,GUNJUR VILLAGE,C V RAMAN NAGAR,75
1038,C V RAMAN NAGAR,HOODI,61
1039,HOODI,C V RAMAN NAGAR,61
1040,C V RAMAN NAGAR,HSR LAYOUT,71
1041,HSR LAYOUT,C V RAMAN NAGAR,71
1042,C V RAMAN NAGAR,KADUBEESANAHALLI,63
1043,KADUBEESANAHALLI,C V RAMAN NAGAR,63
1044,C V RAMAN NAGAR,KAGGADASAPURA,40
1045,KAGGADASAPURA,C V RAMAN NAGAR,40
1046,C V RAMAN NAGAR,KODIHALLI,49
1047,KODIHALLI,C V RAMAN NAGAR,49
1048,C V RAMAN NAGAR,KRISHNARAJAPURA,58
1049,KRISHNARAJAPURA,C V RAMAN NAGAR,58
1050,C V RAMAN NAGAR,MAHADEVAPURA,48
1051,MAHADEVAPURA,C V RAMAN NAGAR,48
1052,C V RAMAN NAGAR,MARATHAHALLI,52
1053,MARATHAHALLI,C V RAMAN NAGAR,52
1054,C V RAMAN NAGAR,MUNNEKOLLAL,57
1055,MUNNEKOLLAL,C V RAMAN NAGAR,57
1056,C V RAMAN NAGAR,MURGESH PALLYA,49
1057,MURGESH PALLYA,C V RAMAN NAGAR,49
1058,C V RAMAN NAGAR,NEW TIPPASANDRA,39
1059,NEW TIPPASANDRA,C V RAMAN NAGAR,39
1060,C V RAMAN NAGAR,PANATHUR,66
1061,PANATHUR,C V RAMAN NAGAR,66
1062,C V RAMAN NAGAR,WHITEFIELD,61
1063,WHITEFIELD,C V RAMAN NAGAR,61
1064,C V RAMAN NAGAR,AIRPORT,92
1065,AIRPORT,C V RAMAN NAGAR,92
1066,C V RAMAN NAGAR,DEVANAHALLI,94
1067,DEVANAHALLI,C V RAMAN NAGAR,94
1068,C V RAMAN NAGAR,HEBBAL,67
1069,HEBBAL,C V RAMAN NAGAR,67
1070,C V RAMAN NAGAR,THANISANDRA,65
1071,THANISANDRA,C V RAMAN NAGAR,65
1072,C V RAMAN NAGAR,YELAHANKA,86
1073,YELAHANKA,C V RAMAN NAGAR,86
1074,C V RAMAN NAGAR,AREKERE,88
1075,AREKERE,C V RAMAN NAGAR,88
1076,C V RAMAN NAGAR,BANASHANKARI,88
1077,BANASHANKARI,C V RAMAN NAGAR,88
1078,C V RAMAN NAGAR,BELLANDUR,69
1079,BELLANDUR,C V RAMAN NAGAR,69
1080,C V RAMAN NAGAR,BILEKAHALLI,81
1081,BILEKAHALLI,C V RAMAN NAGAR,81
1082,C V RAMAN NAGAR,BOMMANAHALLI,76
1083,BOMMANAHALLI,C V RAMAN NAGAR,76
1084,C V RAMAN NAGAR,BOMMASANDRA,91
1085,BOMMASANDRA,C V RAMAN NAGAR,91
1086,C V RAMAN NAGAR,BTM LAYOUT,78
1087,BTM LAYOUT,C V RAMAN NAGAR,78
1088,C V RAMAN NAGAR,CHOODASANDRA,79
1089,CHOODASANDRA,C V RAMAN NAGAR,79
1090,C V RAMAN NAGAR,DOMLUR,52
1091,DOMLUR,C V RAMAN NAGAR,52
1092,C V RAMAN NAGAR,ELECTRONIC CITY,85
1093,ELECTRONIC CITY,C V RAMAN NAGAR,85
1094,C V RAMAN NAGAR,HARALUR,74
1095,HARALUR,C V RAMAN NAGAR,74
1096,C V RAMAN NAGAR,J. P. NAGAR,94
1097,J. P. NAGAR,C V RAMAN NAGAR,94
1098,C V RAMAN NAGAR,JAYANAGAR,78
1099,JAYANAGAR,C V RAMAN NAGAR,78
1100,C V RAMAN NAGAR,KAIKONDRAHALLI,67
1101,KAIKONDRAHALLI,C V RAMAN NAGAR,67
1102,C V RAMAN NAGAR,KASAVANAHALLI,73
1103,KASAVANAHALLI,C V RAMAN NAGAR,73
1104,C V RAMAN NAGAR,RR NAGAR,95
1105,RR NAGAR,C V RAMAN NAGAR,95
1106,C V RAMAN NAGAR,S.G. PALYA,74
1107,S.G. PALYA,C V RAMAN NAGAR,74
1108,C V RAMAN NAGAR,BALAGERE,66
1109,BALAGERE,C V RAMAN NAGAR,66
1110,C V RAMAN NAGAR,KADUGODI,76
1111,KADUGODI,C V RAMAN NAGAR,76
1112,C V RAMAN NAGAR,MATHIKERE,76
1113,MATHIKERE,C V RAMAN NAGAR,76
1114,C V RAMAN NAGAR,RAJAJINAGAR,82
1115,RAJAJINAGAR,C V RAMAN NAGAR,82
1116,C V RAMAN NAGAR,VIDYARANYAPURA,77
1117,VIDYARANYAPURA,C V RAMAN NAGAR,77
1118,C V RAMAN NAGAR,VIJAYANAGAR,86
1119,VIJAYANAGAR,C V RAMAN NAGAR,86
1120,C V RAMAN NAGAR,YESWANTHPUR,78
1121,YESWANTHPUR,C V RAMAN NAGAR,78
1122,CHINNAPANNA HALLI,DODDAKANNELLI,52
1123,DODDAKANNELLI,CHINNAPANNA HALLI,52
1124,CHINNAPANNA HALLI,DODDANEKKUNDI,36
1125,DODDANEKKUNDI,CHINNAPANNA HALLI,36
1126,CHINNAPANNA HALLI,GUNJUR VILLAGE,60
1127,GUNJUR VILLAGE,CHINNAPANNA HALLI,60
1128,CHINNAPANNA HALLI,HOODI,41
1129,HOODI,CHINNAPANNA HALLI,41
1130,CHINNAPANNA HALLI,HSR LAYOUT,54
1131,HSR LAYOUT,CHINNAPANNA HALLI,54
1132,CHINNAPANNA HALLI,KADUBEESANAHALLI,42
1133,KADUBEESANAHALLI,CHINNAPANNA HALLI,42
1134,CHINNAPANNA HALLI,KAGGADASAPURA,51
1135,KAGGADASAPURA,CHINNAPANNA HALLI,51
1136,CHINNAPANNA HALLI,KODIHALLI,57
1137,KODIHALLI,CHINNAPANNA HALLI,57
1138,CHINNAPANNA HALLI,KRISHNARAJAPURA,49
1139,KRISHNARAJAPURA,CHINNAPANNA HALLI,49
1140,CHINNAPANNA HALLI,MAHADEVAPURA,41
1141,MAHADEVAPURA,CHINNAPANNA HALLI,41
1142,CHINNAPANNA HALLI,MARATHAHALLI,35
1143,MARATHAHALLI,CHINNAPANNA HALLI,35
1144,CHINNAPANNA HALLI,MUNNEKOLLAL,41
1145,MUNNEKOLLAL,CHINNAPANNA HALLI,41
1146,CHINNAPANNA HALLI,MURGESH PALLYA,53
1147,MURGESH PALLYA,CHINNAPANNA HALLI,53
1148,CHINNAPANNA HALLI,NEW TIPPASANDRA,52
1149,NEW TIPPASANDRA,CHINNAPANNA HALLI,52
1150,CHINNAPANNA HALLI,PANATHUR,45
1151,PANATHUR,CHINNAPANNA HALLI,45
1152,CHINNAPANNA HALLI,WHITEFIELD,46
1153,WHITEFIELD,CHINNAPANNA HALLI,46
1154,CHINNAPANNA HALLI,AIRPORT,96
1155,AIRPORT,CHINNAPANNA HALLI,96
1156,CHINNAPANNA HALLI,DEVANAHALLI,98
1157,DEVANAHALLI,CHINNAPANNA HALLI,98
1158,CHINNAPANNA HALLI,HEBBAL,71
1159,HEBBAL,CHINNAPANNA HALLI,71
1160,CHINNAPANNA HALLI,THANISANDRA,69
1161,THANISANDRA,CHINNAPANNA HALLI,69
1162,CHINNAPANNA HALLI,YELAHANKA,90
1163,YELAHANKA,CHINNAPANNA HALLI,90
1164,CHINNAPANNA HALLI,AREKERE,74
1165,AREKERE,CHINNAPANNA HALLI,74
1166,CHINNAPANNA HALLI,BANASHANKARI,89
1167,BANASHANKARI,CHINNAPANNA HALLI,89
1168,CHINNAPANNA HALLI,BELLANDUR,50
1169,BELLANDUR,CHINNAPANNA HALLI,50
1170,CHINNAPANNA HALLI,BILEKAHALLI,67
1171,BILEKAHALLI,CHINNAPANNA HALLI,67
