,Source,Destination,TravelTimeInMin
145,KAGGADASAPURA,ASHOK NAGAR,61
146,ASHOK NAGAR,KODIHALLI,50
147,KODIHALLI,ASHOK NAGAR,50
148,ASHOK NAGAR,KRISHNARAJAPURA,72
149,KRISHNARAJAPURA,ASHOK NAGAR,72
150,ASHOK NAGAR,MAHADEVAPURA,65
151,MAHADEVAPURA,ASHOK NAGAR,65
152,ASHOK NAGAR,MARATHAHALLI,67
153,MARATHAHALLI,ASHOK NAGAR,67
154,ASHOK NAGAR,MUNNEKOLLAL,70
155,MUNNEKOLLAL,ASHOK NAGAR,70
156,ASHOK NAGAR,MURGESH PALLYA,55
157,MURGESH PALLYA,ASHOK NAGAR,55
158,ASHOK NAGAR,NEW TIPPASANDRA,57
159,NEW TIPPASANDRA,ASHOK NAGAR,57
160,ASHOK NAGAR,PANATHUR,80
161,PANATHUR,ASHOK NAGAR,80
162,ASHOK NAGAR,WHITEFIELD,75
163,WHITEFIELD,ASHOK NAGAR,75
164,ASHOK NAGAR,AIRPORT,82
165,AIRPORT,ASHOK NAGAR,82
166,ASHOK NAGAR,DEVANAHALLI,85
167,DEVANAHALLI,ASHOK NAGAR,85
168,ASHOK NAGAR,HEBBAL,57
169,HEBBAL,ASHOK NAGAR,57
170,ASHOK NAGAR,THANISANDRA,68
171,THANISANDRA,ASHOK NAGAR,68
172,ASHOK NAGAR,YELAHANKA,77
173,YELAHANKA,ASHOK NAGAR,77
174,ASHOK NAGAR,AREKERE,70
175,AREKERE,ASHOK NAGAR,70
176,ASHOK NAGAR,BANASHANKARI,61
177,BANASHANKARI,ASHOK NAGAR,61
178,ASHOK NAGAR,BELLANDUR,70
179,BELLANDUR,ASHOK NAGAR,70
180,ASHOK NAGAR,BILEKAHALLI,63
181,BILEKAHALLI,ASHOK NAGAR,63
182,ASHOK NAGAR,BOMMANAHALLI,65
183,BOMMANAHALLI,ASHOK NAGAR,65
184,ASHOK NAGAR,BOMMASANDRA,85
185,BOMMASANDRA,ASHOK NAGAR,85
186,ASHOK NAGAR,BTM LAYOUT,66
187,BTM LAYOUT,ASHOK NAGAR,66
188,ASHOK NAGAR,CHOODASANDRA,84
189,CHOODASANDRA,ASHOK NAGAR,84
190,ASHOK NAGAR,DOMLUR,48
191,DOMLUR,ASHOK NAGAR,48
192,ASHOK NAGAR,ELECTRONIC CITY,74
193,ELECTRONIC CITY,ASHOK NAGAR,74
194,ASHOK NAGAR,HARALUR,77
195,HARALUR,ASHOK NAGAR,77
196,ASHOK NAGAR,J. P. NAGAR,76
197,J. P. NAGAR,ASHOK NAGAR,76
198,ASHOK NAGAR,JAYANAGAR,56
199,JAYANAGAR,ASHOK NAGAR,56
200,ASHOK NAGAR,KAIKONDRAHALLI,71
201,KAIKONDRAHALLI,ASHOK NAGAR,71
202,ASHOK NAGAR,KASAVANAHALLI,76
203,KASAVANAHALLI,ASHOK NAGAR,76
204,ASHOK NAGAR,RR NAGAR,66
205,RR NAGAR,ASHOK NAGAR,66
206,ASHOK NAGAR,S.G. PALYA,52
207,S.G. PALYA,ASHOK NAGAR,52
208,ASHOK NAGAR,BALAGERE,79
209,BALAGERE,ASHOK NAGAR,79
210,ASHOK NAGAR,KADUGODI,90
211,KADUGODI,ASHOK NAGAR,90
212,ASHOK NAGAR,MATHIKERE,61
213,MATHIKERE,ASHOK NAGAR,61
214,ASHOK NAGAR,RAJAJINAGAR,58
215,RAJAJINAGAR,ASHOK NAGAR,58
216,ASHOK NAGAR,VIDYARANYAPURA,68
217,VIDYARANYAPURA,ASHOK NAGAR,68
218,ASHOK NAGAR,VIJAYANAGAR,56
219,VIJAYANAGAR,ASHOK NAGAR,56
220,ASHOK NAGAR,YESWANTHPUR,62
221,YESWANTHPUR,ASHOK NAGAR,62
222,BANASWADI,EJIPURA,67
223,EJIPURA,BANASWADI,67
224,BANASWADI,INDIRANAGAR,52
225,INDIRANAGAR,BANASWADI,52
226,BANASWADI,KORAMANGALA,75
227,KORAMANGALA,BANASWADI,75
228,BANASWADI,SHANTI NAGAR,69
229,SHANTI NAGAR,BANASWADI,69
230,BANASWADI,AKSHAYANAGAR,95
231,AKSHAYANAGAR,BANASWADI,95
232,BANASWADI,BHOGANHALLI,66
233,BHOGANHALLI,BANASWADI,66
234,BANASWADI,BROOKEFIELD,66
235,BROOKEFIELD,BANASWADI,66
236,BANASWADI,C V RAMAN NAGAR,50
237,C V RAMAN NAGAR,BANASWADI,50
238,BANASWADI,CHINNAPANNA HALLI,54
239,CHINNAPANNA HALLI,BANASWADI,54
240,BANASWADI,DODDAKANNELLI,69
241,DODDAKANNELLI,BANASWADI,69
242,BANASWADI,DODDANEKKUNDI,51
243,DODDANEKKUNDI,BANASWADI,51
244,BANASWADI,GUNJUR VILLAGE,78
245,GUNJUR VILLAGE,BANASWADI,78
246,BANASWADI,HOODI,57
247,HOODI,BANASWADI,57
248,BANASWADI,HSR LAYOUT,73
249,HSR LAYOUT,BANASWADI,73
250,BANASWADI,KADUBEESANAHALLI,61
251,KADUBEESANAHALLI,BANASWADI,61
252,BANASWADI,KAGGADASAPURA,56
253,KAGGADASAPURA,BANASWADI,56
254,BANASWADI,KODIHALLI,56
255,KODIHALLI,BANASWADI,56
256,BANASWADI,KRISHNARAJAPURA,54
257,KRISHNARAJAPURA,BANASWADI,54
258,BANASWADI,MAHADEVAPURA,47
259,MAHADEVAPURA,BANASWADI,47
260,BANASWADI,MARATHAHALLI,53
261,MARATHAHALLI,BANASWADI,53
262,BANASWADI,MUNNEKOLLAL,60
263,MUNNEKOLLAL,BANASWADI,60
264,BANASWADI,MURGESH PALLYA,61
265,MURGESH PALLYA,BANASWADI,61
266,BANASWADI,NEW TIPPASANDRA,51
267,NEW TIPPASANDRA,BANASWADI,51
268,BANASWADI,PANATHUR,64
269,PANATHUR,BANASWADI,64
270,BANASWADI,WHITEFIELD,64
271,WHITEFIELD,BANASWADI,64
272,BANASWADI,AIRPORT,77
